height,timestamp,gas_used,gas_wanted,tx_count,total_fee_base,total_fee_osmo,fee_per_gas_osmo,load,max_gas,status,error
45947209,2025-10-10T21:01:42.261035+00:00,12740473,26365259,28,377723,0.377723,2.9647486400230195e-08,0.042468243333333336,300000000,ok,
45947210,2025-10-10T21:01:43.560540+00:00,8472122,18590627,17,259139,0.259139,3.0587260192900906e-08,0.028240406666666665,300000000,ok,
45947211,2025-10-10T21:01:44.602455+00:00,3558970,7307270,10,104949,0.104949,2.948858799034552e-08,0.011863233333333334,300000000,ok,
45947212,2025-10-10T21:01:45.631916+00:00,13641751,33425039,35,428098,0.428098,3.1381455357160526e-08,0.04547250333333333,300000000,ok,
45947213,2025-10-10T21:01:46.713896+00:00,9931583,19433890,23,248048,0.248048,2.4975676083057454e-08,0.03310527666666667,300000000,ok,
45947214,2025-10-10T21:01:47.780986+00:00,9279182,20254716,25,321789,0.321789,3.4678595591723495e-08,0.030930606666666666,300000000,ok,
45947215,2025-10-10T21:01:48.913364+00:00,4036293,7627722,11,123780,0.12378,3.066675288439169e-08,0.01345431,300000000,ok,
45947216,2025-10-10T21:01:49.959348+00:00,461853,641219,1,8978,0.008978,1.943908559649932e-08,0.00153951,300000000,ok,
45947217,2025-10-10T21:01:54.567053+00:00,3835976,6637600,6,91381,0.091381,2.3822098991234564e-08,0.012786586666666667,300000000,ok,
45947218,2025-10-10T21:01:55.687878+00:00,96531021,220238359,203,3361071,3.361071,3.481855848183767e-08,0.32177007,300000000,ok,
45947219,2025-10-10T21:01:57.056807+00:00,14074212,29003325,24,757214,0.757214,5.380152011352394e-08,0.04691404,300000000,ok,
45947220,2025-10-10T21:01:59.123116+00:00,289640,480000,1,4802,0.004802,1.657920176771164e-08,0.0009654666666666666,300000000,ok,
45947221,2025-10-10T21:02:00.137136+00:00,17377598,42442522,54,775450,0.77545,4.4623543483972874e-08,0.057925326666666666,300000000,ok,
45947222,2025-10-10T21:02:01.195020+00:00,4843022,9197210,11,108197,0.108197,2.2340802911900875e-08,0.016143406666666665,300000000,ok,
45947223,2025-10-10T21:02:02.291938+00:00,10729452,26956471,30,868143,0.868143,8.09121472373426e-08,0.03576484,300000000,ok,
45947224,2025-10-10T21:02:04.576054+00:00,9863035,21220342,20,406874,0.406874,4.1252413684023224e-08,0.03287678333333333,300000000,ok,
45947225,2025-10-10T21:02:05.665630+00:00,7599812,14638113,20,329461,0.329461,4.3351203950834576e-08,0.025332706666666666,300000000,ok,
45947226,2025-10-10T21:02:06.753872+00:00,5792578,10543917,16,139233,0.139233,2.4036448020207928e-08,0.019308593333333332,300000000,ok,
45947227,2025-10-10T21:02:07.783806+00:00,6954341,14145704,16,311616,0.311616,4.480884673328501e-08,0.023181136666666668,300000000,ok,
45947228,2025-10-10T21:02:09.014083+00:00,14556788,28200263,33,803043,0.803043,5.5166222108888306e-08,0.048522626666666666,300000000,ok,
45947229,2025-10-10T21:02:11.006442+00:00,5321489,8365108,10,88699,0.088699,1.6668079178590805e-08,0.017738296666666667,300000000,ok,
45947230,2025-10-10T21:02:12.006573+00:00,4201669,8951596,12,376425,0.376425,8.958939887935008e-08,0.014005563333333334,300000000,ok,
45947231,2025-10-10T21:02:13.031221+00:00,4216101,8677477,13,154383,0.154383,3.661748141232859e-08,0.01405367,300000000,ok,
45947232,2025-10-10T21:02:14.120551+00:00,6556334,15255375,17,473851,0.473851,7.227377372781801e-08,0.021854446666666666,300000000,ok,
45947233,2025-10-10T21:02:15.182560+00:00,47450463,110633670,114,2089584,2.089584,4.403716777220909e-08,0.15816821,300000000,ok,
45947234,2025-10-10T21:02:20.200031+00:00,1516704,4036295,5,175400,0.1754,1.1564550498976728e-07,0.00505568,300000000,ok,
45947235,2025-10-10T21:02:21.541325+00:00,4508242,10263155,9,249343,0.249343,5.5308255413085633e-08,0.015027473333333333,300000000,ok,
45947236,2025-10-10T21:02:22.630964+00:00,6880613,11845385,10,274637,0.274637,3.9914612259111216e-08,0.022935376666666667,300000000,ok,
45947237,2025-10-10T21:02:23.656205+00:00,5799769,12022799,14,165875,0.165875,2.860027701103268e-08,0.019332563333333334,300000000,ok,
45947238,2025-10-10T21:02:24.688364+00:00,3805849,6299225,10,224398,0.224398,5.8961351330544116e-08,0.012686163333333333,300000000,ok,
45947239,2025-10-10T21:02:25.758628+00:00,19337705,37042355,50,567146,0.567146,2.9328506148997515e-08,0.06445901666666666,300000000,ok,
45947240,2025-10-10T21:02:29.827007+00:00,2624799,4968609,5,191871,0.191871,7.309931160443142e-08,0.00874933,300000000,ok,
45947241,2025-10-10T21:02:30.887627+00:00,3442103,8342839,10,116120,0.11612,3.373519037634841e-08,0.011473676666666667,300000000,ok,
45947242,2025-10-10T21:02:32.001365+00:00,6893887,13340082,17,324290,0.32429,4.704022563758298e-08,0.022979623333333334,300000000,ok,
