lambda_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.7000000000000001,Spike,0.5,0.5000260912,0.014927664191618397,5.218239999993379e-05,True
16.0,0.6900000000000001,Spike,0.5,0.500026922,0.015168930424019941,5.384399999996958e-05,True
16.0,0.68,Spike,0.5,0.5000271686,0.01523180639813296,5.4337199999920927e-05,True
16.0,0.67,Spike,0.5,0.5000276242,0.015349412491210843,5.524840000004083e-05,True
16.0,0.66,Spike,0.5,0.500028282,0.015520347081453487,5.656400000009221e-05,True
16.0,0.65,Spike,0.5,0.500029137,0.01574272597197946,5.8273999999913784e-05,True
16.0,0.64,Spike,0.5,0.5000301814,0.016014272913719346,6.036279999999117e-05,True
16.0,0.63,Spike,0.5,0.5000314106,0.01633241431358725,6.282120000000724e-05,True
16.0,0.62,Spike,0.5,0.50003282,0.016694389803840828,6.564000000008896e-05,True
16.0,0.61,Spike,0.5,0.5000344018,0.01709731176686813,6.880360000005581e-05,True
16.0,0.6,Spike,0.5,0.500035473,0.01736717036409104,7.094599999990514e-05,True
16.0,0.59,Spike,0.5,0.5000356638,0.017408153898389102,7.132759999994853e-05,True
16.0,0.5800000000000001,Spike,0.5,0.500036046,0.01749272674831749,7.209199999991256e-05,True
16.0,0.5700000000000001,Spike,0.5,0.5000366168,0.017620131656871322,7.323360000000001e-05,True
16.0,0.56,Spike,0.5,0.5000373722,0.017789323654486808,7.474439999999305e-05,True
16.0,0.55,Spike,0.5,0.500038303,0.01799902588557939,7.660599999992357e-05,True
16.0,0.54,Spike,0.5,0.5000394078,0.01824773206706569,7.881560000000398e-05,True
16.0,0.53,Spike,0.5,0.5000406782,0.018533789161690135,8.135639999995448e-05,True
16.0,0.52,Spike,0.5,0.5000421118,0.01885539680900579,8.422360000004403e-05,True
16.0,0.51,Spike,0.5,0.5000437034,0.019210685052997705,8.740680000007828e-05,True
16.0,0.5,Spike,0.5,0.500045158,0.019534727495931548,9.031600000009021e-05,True
16.0,0.49,Spike,0.5,0.5000451333999999,0.01952955652892425,9.026679999979415e-05,True
16.0,0.48000000000000004,Spike,0.5,0.5000452958,0.019560018831157534,9.059160000002286e-05,True
16.0,0.47000000000000003,Spike,0.5,0.5000456388000001,0.01962583490048367,9.127760000016139e-05,True
16.0,0.46,Spike,0.5,0.5000461596,0.019726541656632922,9.23191999999684e-05,True
16.0,0.45,Spike,0.5,0.5000468482,0.019861510537512575,9.369640000000956e-05,True
16.0,0.44,Spike,0.5,0.5000477028,0.020029944443301695,9.540559999998699e-05,True
16.0,0.43,Spike,0.5,0.5000487168,0.020230925167624574,9.743359999991874e-05,True
16.0,0.42000000000000004,Spike,0.5,0.5000498884000001,0.020463399700084116,9.977680000017308e-05,True
16.0,0.41000000000000003,Spike,0.5,0.50005121,0.02072622550351666,0.00010241999999993645,True
16.0,0.4,Spike,0.5,0.5000526792000001,0.021018184578019062,0.00010535840000014396,True
16.0,0.39,Spike,0.5,0.5000542906000001,0.021337997844384397,0.00010858120000012406,True
16.0,0.38,Spike,0.5,0.5000560408,0.02168435351739657,0.00011208159999998024,True
16.0,0.37,Spike,0.5,0.5000559738,0.021675128753454023,0.00011194759999999526,True
16.0,0.36000000000000004,Spike,0.5,0.5000559994,0.021678591311107984,0.00011199880000001272,True
16.0,0.35000000000000003,Spike,0.5,0.5000561916,0.021710731066188795,0.00011238320000006574,True
16.0,0.34,Spike,0.5,0.5000565502,0.02177133894385372,0.00011310039999989918,True
16.0,0.33,Spike,0.5,0.5000570662,0.02186010390998196,0.00011413240000002212,True
16.0,0.32,Spike,0.5,0.5000577382,0.02197660678588997,0.00011547639999998083,True
16.0,0.31,Spike,0.5,0.5000585596,0.022120329160843985,0.00011711920000001541,True
16.0,0.3,Spike,0.5,0.5000595268,0.022290690936921872,0.00011905359999997422,True
