lambda_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.6900000000000001,Bimodal,0.5,0.500026227,0.014975740240917097,5.245399999997957e-05,True
16.0,0.68,Bimodal,0.5,0.5000266326,0.015095617646563636,5.326520000004109e-05,True
16.0,0.67,Bimodal,0.5,0.500026781,0.015133470643688567,5.356199999995148e-05,True
16.0,0.66,Bimodal,0.5,0.5000271482,0.015227957084889379,5.429640000009783e-05,True
16.0,0.65,Bimodal,0.5,0.5000277248,0.015377977414072843,5.544960000003485e-05,True
16.0,0.64,Bimodal,0.5,0.5000285054,0.015581870026061463,5.7010799999979156e-05,True
16.0,0.63,Bimodal,0.5,0.500029486,0.015837506985750906,5.8971999999934965e-05,True
16.0,0.62,Bimodal,0.5,0.5000306564,0.016142397266683848,6.131279999999073e-05,True
16.0,0.61,Bimodal,0.5,0.5000320164,0.01649375773959972,6.403279999989131e-05,True
16.0,0.6,Bimodal,0.5,0.5000335588,0.016888650239031,6.711759999999956e-05,True
16.0,0.59,Bimodal,0.5,0.5000352618,0.017320760359567,7.052360000003866e-05,True
16.0,0.5800000000000001,Bimodal,0.5,0.5000352096,0.017309148024149894,7.04192000000603e-05,True
16.0,0.5700000000000001,Bimodal,0.5,0.5000353676,0.017343612914760803,7.0735200000005e-05,True
16.0,0.56,Bimodal,0.5,0.5000357318,0.017423834053080584,7.146360000009899e-05,True
16.0,0.55,Bimodal,0.5,0.5000362944000001,0.017549164473286773,7.258880000016177e-05,True
16.0,0.54,Bimodal,0.5,0.5000370484,0.01771861417475171,7.409679999992314e-05,True
16.0,0.53,Bimodal,0.5,0.5000379902000001,0.017930910207981113,7.598040000011963e-05,True
16.0,0.52,Bimodal,0.5,0.5000391134,0.018184523581235658,7.822679999991422e-05,True
16.0,0.51,Bimodal,0.5,0.5000404141999999,0.01847774210966623,8.08283999997883e-05,True
16.0,0.5,Bimodal,0.5,0.5000418868,0.018808694661484607,8.377359999989231e-05,True
16.0,0.49,Bimodal,0.5,0.5000435276,0.01917540578717068,8.70552000000746e-05,True
16.0,0.48000000000000004,Bimodal,0.5,0.5000449632,0.0194961956727816,8.992640000005103e-05,True
16.0,0.47000000000000003,Bimodal,0.5,0.5000448507999999,0.01947461104352019,8.97015999998807e-05,True
16.0,0.46,Bimodal,0.5,0.5000449396,0.01949095800498124,8.987919999992044e-05,True
16.0,0.45,Bimodal,0.5,0.500045223,0.019545131692077264,9.044599999996628e-05,True
16.0,0.44,Bimodal,0.5,0.5000456958,0.019636811216819684,9.139160000004587e-05,True
16.0,0.43,Bimodal,0.5,0.5000463552000001,0.019765473825237283,9.271040000013997e-05,True
16.0,0.42000000000000004,Bimodal,0.5,0.5000471907999999,0.019930410137416754,9.438159999985984e-05,True
16.0,0.41000000000000003,Bimodal,0.5,0.5000482038,0.02013071765876609,9.64076000000702e-05,True
16.0,0.4,Bimodal,0.5,0.5000493852,0.020365372627459386,9.877039999994786e-05,True
16.0,0.39,Bimodal,0.5,0.5000507305999999,0.020633200462901825,0.00010146119999987491,True
16.0,0.38,Bimodal,0.5,0.5000522378,0.020932936019921668,0.00010447559999993139,True
16.0,0.37,Bimodal,0.5,0.5000539008,0.021263242897203157,0.0001078016000000126,True
16.0,0.36000000000000004,Bimodal,0.5,0.5000557132,0.02162271983293361,0.00011142639999994763,True
