timestamp,block,base_fee_gwei,tip_gwei,gas_price_gwei
2025-05-29 00:13:00+00:00,11071046,31.25,0.0,31.25
2025-05-29 00:13:06+00:00,11071047,31.25,0.0,31.25
2025-05-29 00:13:12+00:00,11071048,31.25,0.0,31.25
2025-05-29 00:13:18+00:00,11071049,31.25,0.0,31.25
2025-05-29 00:13:24+00:00,11071050,31.25,0.0,31.25
2025-05-29 00:13:30+00:00,11071051,31.25,0.0,31.25
2025-05-29 00:13:36+00:00,11071052,31.25,0.0,31.25
2025-05-29 00:13:42+00:00,11071053,31.25,3.90625,35.15625
2025-05-29 00:13:48+00:00,11071054,31.25,0.0,31.25
2025-05-29 00:13:54+00:00,11071055,31.25,1.5,32.75
2025-05-29 00:14:00+00:00,11071056,31.25,0.0,31.25
2025-05-29 00:14:06+00:00,11071057,31.25,0.0,31.25
2025-05-29 00:14:18+00:00,11071058,31.25,0.0,31.25
2025-05-29 00:14:24+00:00,11071059,31.25,0.0,31.25
2025-05-29 00:14:30+00:00,11071060,31.25,1.5,32.75
2025-05-29 00:14:36+00:00,11071061,31.25,0.0,31.25
2025-05-29 00:14:42+00:00,11071062,31.25,0.0,31.25
2025-05-29 00:14:48+00:00,11071063,31.25,0.0,31.25
2025-05-29 00:14:54+00:00,11071064,31.25,96.1190585585,127.3690585585
2025-05-29 00:15:00+00:00,11071065,31.25,0.0,31.25
2025-05-29 00:15:06+00:00,11071066,31.25,0.0,31.25
2025-05-29 00:15:12+00:00,11071067,31.25,0.0,31.25
2025-05-29 00:15:18+00:00,11071068,31.25,0.0,31.25
2025-05-29 00:15:24+00:00,11071069,31.25,7.8125,39.0625
2025-05-29 00:15:30+00:00,11071070,31.25,7.8125,39.0625
2025-05-29 00:15:36+00:00,11071071,31.25,0.0,31.25
2025-05-29 00:15:42+00:00,11071072,31.25,0.0,31.25
2025-05-29 00:15:48+00:00,11071073,31.25,0.5,31.75
2025-05-29 00:15:54+00:00,11071074,31.25,0.0,31.25
2025-05-29 00:16:00+00:00,11071075,31.25,0.0,31.25
2025-05-29 00:16:06+00:00,11071076,31.25,7.8125,39.0625
2025-05-29 00:16:12+00:00,11071077,31.25,0.0,31.25
2025-05-29 00:16:18+00:00,11071078,31.25,0.0,31.25
2025-05-29 00:16:24+00:00,11071079,31.25,0.0,31.25
2025-05-29 00:16:30+00:00,11071080,31.25,0.0,31.25
2025-05-29 00:16:36+00:00,11071081,31.25,4.65625,35.90625
2025-05-29 00:16:42+00:00,11071082,31.25,0.0,31.25
2025-05-29 00:16:48+00:00,11071083,31.25,0.0,31.25
2025-05-29 00:16:54+00:00,11071084,31.25,0.0,31.25
2025-05-29 00:17:00+00:00,11071085,31.25,0.0,31.25
2025-05-29 00:17:06+00:00,11071086,31.25,0.0,31.25
2025-05-29 00:17:12+00:00,11071087,31.25,0.0,31.25
2025-05-29 00:17:18+00:00,11071088,31.25,0.0,31.25
2025-05-29 00:17:24+00:00,11071089,31.25,3.125,34.375
2025-05-29 00:17:30+00:00,11071090,31.25,2.5,33.75
2025-05-29 00:17:36+00:00,11071091,31.25,0.0,31.25
2025-05-29 00:17:42+00:00,11071092,31.25,7.8125,39.0625
2025-05-29 00:17:48+00:00,11071093,31.25,0.0,31.25
2025-05-29 00:17:54+00:00,11071094,31.25,0.0,31.25
2025-05-29 00:18:00+00:00,11071095,31.25,0.0,31.25
2025-05-29 00:18:06+00:00,11071096,31.25,1.5625,32.8125
2025-05-29 00:18:12+00:00,11071097,31.25,0.0,31.25
