epsilon_0j,alpha_outflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.72,Spike,0.5,0.500070874,0.02419401798787881,0.00014174800000010812,True
16.0,0.7100000000000001,Spike,0.5,0.5000708070000001,0.024185185885467454,0.00014161400000012314,True
16.0,0.7000000000000001,Spike,0.5,0.5000707822,0.02418333046446734,0.00014156440000001602,True
16.0,0.6900000000000001,Spike,0.5,0.5000707974,0.024187968237424248,0.00014159480000008884,True
16.0,0.68,Spike,0.5,0.500070849,0.02419863668726202,0.0001416979999999679,True
16.0,0.67,Spike,0.5,0.5000709328,0.02421494886939953,0.00014186560000006843,True
16.0,0.66,Spike,0.5,0.5000710495999999,0.024236544347227367,0.00014209919999985665,True
16.0,0.65,Spike,0.5,0.5000711968,0.024263096871455395,0.00014239360000001255,True
16.0,0.64,Spike,0.5,0.500071372,0.02429432131728049,0.00014274399999991694,True
16.0,0.63,Spike,0.5,0.5000715738,0.024329951091454666,0.00014314760000000426,True
16.0,0.62,Spike,0.5,0.5000717995999999,0.02436973577734915,0.00014359919999984427,True
16.0,0.61,Spike,0.5,0.50007205,0.024413448857572833,0.00014409999999998035,True
16.0,0.6,Spike,0.5,0.5000723224,0.02446088715014426,0.00014464479999998225,True
16.0,0.59,Spike,0.5,0.5000726166,0.024511853032307043,0.00014523320000003892,True
16.0,0.5800000000000001,Spike,0.5,0.5000729295999999,0.02456615936928431,0.00014585919999987595,True
16.0,0.5700000000000001,Spike,0.5,0.500073262,0.02462363834715833,0.00014652400000003674,True
16.0,0.56,Spike,0.5,0.5000736132,0.024684128514170525,0.00014722639999997789,True
16.0,0.55,Spike,0.5,0.5000739808,0.024747471094533,0.00014796159999996839,True
16.0,0.54,Spike,0.5,0.5000743668000001,0.024813530767766413,0.00014873360000011715,True
16.0,0.53,Spike,0.5,0.5000747680000001,0.024882152111023497,0.0001495360000001167,True
16.0,0.52,Spike,0.5,0.5000751838,0.024953204420590725,0.00015036760000008975,True
16.0,0.51,Spike,0.5,0.500075613,0.025026559471278208,0.0001512260000000598,True
16.0,0.5,Spike,0.5,0.5000760564,0.02510209689481981,0.0001521127999999372,True
16.0,0.49,Spike,0.5,0.5000765146,0.02517967188271148,0.00015302920000004328,True
16.0,0.48000000000000004,Spike,0.5,0.5000769808,0.02525918562368363,0.00015396159999991887,True
16.0,0.47000000000000003,Spike,0.5,0.50007746,0.02534050448978393,0.00015491999999994732,True
16.0,0.46,Spike,0.5,0.5000778567999999,0.025408755400359397,0.00015571359999988488,True
16.0,0.45,Spike,0.5,0.5000776828,0.025386467871895576,0.00015536559999995703,True
16.0,0.44,Spike,0.5,0.5000775314,0.025366927366053088,0.00015506279999999428,True
16.0,0.43,Spike,0.5,0.5000774004,0.025350074558259227,0.00015480080000007668,True
16.0,0.42000000000000004,Spike,0.5,0.5000772874,0.025335858703672384,0.0001545748000000291,True
16.0,0.41000000000000003,Spike,0.5,0.5000771956000001,0.02532418095148416,0.00015439120000015905,True
16.0,0.4,Spike,0.5,0.5000771211999999,0.025315003885325666,0.0001542423999998377,True
16.0,0.39,Spike,0.5,0.5000770666000001,0.025308237594146868,0.0001541332000001283,True
16.0,0.38,Spike,0.5,0.5000770278,0.025303811188268802,0.0001540555999999249,True
16.0,0.37,Spike,0.5,0.5000770074,0.025301640484956527,0.00015401480000010181,True
16.0,0.36000000000000004,Spike,0.5,0.5000770022000001,0.025301655254190696,0.0001540044000001295,True
16.0,0.35000000000000003,Spike,0.5,0.5000770124,0.025303767597881065,0.00015402480000004104,True
16.0,0.34,Spike,0.5,0.500077038,0.025307883582078465,0.0001540760000000585,True
16.0,0.33,Spike,0.5,0.5000770762,0.025313934325904473,0.00015415239999994057,True
16.0,0.32,Spike,0.5,0.500077128,0.025321813788967185,0.00015425600000007478,True
16.0,0.31,Spike,0.5,0.5000771922,0.02533143876391606,0.0001543844000000405,True
16.0,0.3,Spike,0.5,0.5000772699999999,0.025342700494279776,0.00015453999999981427,True
16.0,0.29000000000000004,Spike,0.5,0.5000773572,0.025355505426125722,0.00015471440000003334,True
16.0,0.28,Spike,0.5,0.5000774530000001,0.025369741873979355,0.00015490600000012122,True
16.0,0.27,Spike,0.5,0.5000775588,0.02538529499579131,0.00015511760000008756,True
16.0,0.26,Spike,0.5,0.5000776746,0.02540205707830523,0.00015534919999993235,True
16.0,0.25,Spike,0.5,0.5000777974,0.02541990867916336,0.00015559480000004733,True
16.0,0.24000000000000002,Spike,0.5,0.5000779262,0.025438737302678066,0.00015585240000004497,True
16.0,0.23,Spike,0.5,0.5000780614,0.025458413761746485,0.00015612279999999146,True
16.0,0.22,Spike,0.5,0.5000781996,0.025478815137755614,0.0001563991999999903,True
16.0,0.21000000000000002,Spike,0.5,0.5000783440000001,0.025499799853147362,0.00015668800000012695,True
16.0,0.2,Spike,0.5,0.5000784918000001,0.025521241095435448,0.0001569836000001601,True
16.0,0.19,Spike,0.5,0.5000786398,0.025543000448945752,0.0001572796000000043,True
16.0,0.18000000000000002,Spike,0.5,0.5000787908000001,0.02556493867673741,0.0001575816000001229,True
16.0,0.17,Spike,0.5,0.50007894,0.025586912270657222,0.00015787999999994362,True
16.0,0.16,Spike,0.5,0.5000790892,0.025608776781175804,0.0001581783999999864,True
16.0,0.15000000000000002,Spike,0.5,0.5000792359999999,0.025630385131923127,0.00015847199999985406,True
16.0,0.14,Spike,0.5,0.5000793814000001,0.025651580438548677,0.0001587628000001562,True
16.0,0.13,Spike,0.5,0.5000795216,0.025672222372008172,0.0001590432000000419,True
