epsilon_0j,alpha_outflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.63,Uniform,0.5,0.5001175324,0.030910734309997665,0.00023506480000001773,True
16.0,0.62,Uniform,0.5,0.5001125378000001,0.030260421550141196,0.00022507560000017968,True
16.0,0.61,Uniform,0.5,0.500108442,0.0297191353764833,0.0002168840000000838,True
16.0,0.6,Uniform,0.5,0.5001045153999999,0.029191096290374047,0.00020903079999978758,True
16.0,0.59,Uniform,0.5,0.5001011528,0.028733620340225547,0.00020230560000000786,True
16.0,0.5800000000000001,Uniform,0.5,0.5000982563999999,0.02833470536853919,0.0001965127999998817,True
16.0,0.5700000000000001,Uniform,0.5,0.500095746,0.027985118622967316,0.0001914919999999043,True
16.0,0.56,Uniform,0.5,0.5000935572,0.027677613169355457,0.00018711440000007684,True
16.0,0.55,Uniform,0.5,0.5000916394,0.027406293354593856,0.00018327880000001961,True
16.0,0.54,Uniform,0.5,0.500089954,0.027166429006022706,0.0001799080000000064,True
16.0,0.53,Uniform,0.5,0.5000884729999999,0.026954132321280713,0.00017694599999984462,True
16.0,0.52,Uniform,0.5,0.5000871654000001,0.026766092101039238,0.00017433080000017753,True
16.0,0.51,Uniform,0.5,0.5000860098000001,0.026599508206413675,0.0001720196000001284,True
16.0,0.5,Uniform,0.5,0.5000849908,0.026451977490285,0.00016998160000003537,True
16.0,0.49,Uniform,0.5,0.500084092,0.02632143573413421,0.00016818400000007117,True
16.0,0.48000000000000004,Uniform,0.5,0.5000833012,0.02620608599526295,0.00016660239999999327,True
16.0,0.47000000000000003,Uniform,0.5,0.5000826016,0.026104361903861183,0.00016520319999990818,True
16.0,0.46,Uniform,0.5,0.5000819874,0.02601487856912337,0.00016397479999996634,True
16.0,0.45,Uniform,0.5,0.5000814508,0.02593641394437632,0.0001629015999999872,True
16.0,0.44,Uniform,0.5,0.5000809808,0.02586788240827782,0.00016196159999992688,True
16.0,0.43,Uniform,0.5,0.500080572,0.02580834098441993,0.00016114400000000195,True
16.0,0.42000000000000004,Uniform,0.5,0.5000802198,0.025756909562257804,0.00016043959999989532,True
16.0,0.41000000000000003,Uniform,0.5,0.5000799158,0.02571282741288136,0.0001598315999999933,True
16.0,0.4,Uniform,0.5,0.5000796584,0.02567538151500183,0.00015931680000003112,True
16.0,0.39,Uniform,0.5,0.5000794408,0.02564395034780686,0.00015888159999999374,True
16.0,0.38,Uniform,0.5,0.5000792624,0.025617945780556827,0.0001585248000000039,True
16.0,0.37,Uniform,0.5,0.5000791146,0.02559686515749624,0.00015822919999997076,True
