epsilon_j0,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
16.0,0.72,Uniform,1.0,0.5204944252,0.4048392193909294,0.0409888504,False
16.0,0.7100000000000001,Uniform,1.0,0.5204521208,0.40691697432028934,0.04090424160000006,False
16.0,0.7000000000000001,Uniform,0.098129,0.5196779728,0.397311371213655,0.03935594560000011,False
16.0,0.6900000000000001,Uniform,1.0,0.5192035428,0.39378814236842197,0.03840708560000006,False
16.0,0.68,Uniform,0.186098,0.5179179848000001,0.3819341369059301,0.03583596960000013,False
16.0,0.67,Uniform,0.375442,0.5181034564,0.38063991064281966,0.03620691279999999,False
16.0,0.66,Uniform,0.74968,0.5177890091999999,0.380898444064505,0.035578018399999856,False
16.0,0.65,Uniform,1.0,0.5175425726,0.37678162400197046,0.035085145200000056,False
16.0,0.64,Uniform,1.0,0.5172848395999999,0.3740596772679988,0.03456967919999987,False
16.0,0.63,Uniform,0.639793,0.5161014154000001,0.35876118070625423,0.03220283080000019,False
16.0,0.62,Uniform,0.748651,0.5159298578,0.36115365228519314,0.031859715600000005,False
16.0,0.61,Uniform,0.14286,0.5155675962,0.35497353768150713,0.031135192400000067,False
16.0,0.6,Uniform,1.0,0.515063593,0.3486915192165116,0.030127186000000084,False
16.0,0.59,Uniform,0.229264,0.5142001678,0.341677159069305,0.028400335599999993,False
16.0,0.5800000000000001,Uniform,0.310559,0.513487791,0.3335266661359797,0.026975581999999942,False
16.0,0.5700000000000001,Uniform,0.174336,0.5127768927999999,0.3222606059241077,0.02555378559999988,False
16.0,0.56,Uniform,0.197383,0.5119796207999999,0.31334364807440207,0.023959241599999848,False
16.0,0.55,Uniform,0.649392,0.5111090776000001,0.30255237271536367,0.022218155200000256,False
16.0,0.54,Uniform,0.224432,0.5102512458,0.28999270352590983,0.02050249160000006,False
16.0,0.53,Uniform,0.437454,0.509300767,0.27687535098066357,0.018601534000000086,False
16.0,0.52,Uniform,0.279222,0.508453915,0.2634110017125413,0.016907830000000068,False
16.0,0.51,Uniform,0.239821,0.5077340610000001,0.24985747970813618,0.01546812200000014,False
16.0,0.5,Uniform,0.905692,0.5069427426,0.2362129594806908,0.013885485200000103,False
16.0,0.49,Uniform,0.276198,0.5060670264,0.2223576373305067,0.012134052800000017,False
16.0,0.48000000000000004,Uniform,0.850783,0.5054127580000001,0.20825536033789893,0.010825516000000146,False
16.0,0.47000000000000003,Uniform,0.312224,0.5047013148,0.19375469231231204,0.009402629600000045,False
16.0,0.46,Uniform,0.328871,0.5039208294,0.17876011032528985,0.007841658800000095,False
16.0,0.45,Uniform,0.485421,0.5032489579999999,0.16302546794094142,0.006497915999999826,False
16.0,0.44,Uniform,0.580028,0.5026292152,0.1463169658748344,0.005258430400000069,False
16.0,0.43,Uniform,0.553693,0.5020131301999999,0.12818556766177153,0.00402626039999987,False
16.0,0.42000000000000004,Uniform,0.456987,0.5014129594,0.10786505886746388,0.002825918799999938,False
16.0,0.41000000000000003,Uniform,0.395496,0.5008631636,0.08372741194964521,0.0017263272000000995,False
16.0,0.4,Uniform,0.522329,0.500337905,0.05061677726207047,0.0006758099999999434,False
