delta,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
0.125,0.55,Uniform,0.232196,0.5121704524,0.31578424334600047,0.024340904800000063,False
0.125,0.54,Uniform,0.494432,0.5115814348,0.30369571145723884,0.023162869599999913,False
0.125,0.53,Uniform,0.208305,0.5104634652000001,0.2916670304990518,0.020926930400000154,False
0.125,0.52,Uniform,0.205859,0.5096512097999999,0.27963256100279665,0.019302419599999787,False
0.125,0.51,Uniform,0.38617,0.5087593539999999,0.2679134462823448,0.017518707999999883,False
0.125,0.5,Uniform,0.211147,0.5082238756,0.25650409916793243,0.016447751200000083,False
0.125,0.49,Uniform,0.887215,0.5074911740000001,0.24512674263464085,0.0149823480000002,False
0.125,0.48000000000000004,Uniform,0.228428,0.5068049960000001,0.2337734920370097,0.013609992000000126,False
0.125,0.47000000000000003,Uniform,0.708021,0.5060928262,0.22235605685385212,0.012185652399999913,False
0.125,0.46,Uniform,0.629485,0.505682332,0.21096648916580368,0.011364664000000024,False
0.125,0.45,Uniform,0.263742,0.504995286,0.1994064310754963,0.009990571999999975,False
0.125,0.44,Uniform,0.297002,0.5043502498,0.18769981806910746,0.008700499599999967,False
0.125,0.43,Uniform,0.347679,0.5037859259999999,0.17570399064141254,0.007571851999999879,False
0.125,0.42000000000000004,Uniform,0.350606,0.5032716366000001,0.16333010611037432,0.006543273200000144,False
0.125,0.41000000000000003,Uniform,0.321112,0.5028036704,0.15048598229870397,0.005607340799999916,False
0.125,0.4,Uniform,0.353317,0.5023882933999999,0.13698263285365347,0.004776586799999816,False
0.125,0.39,Uniform,0.610375,0.5019517863999999,0.12261933466747744,0.003903572799999866,False
0.125,0.38,Uniform,0.574981,0.5013967372,0.10692655632257468,0.0027934743999999956,False
0.125,0.37,Uniform,0.385587,0.5010005558,0.08927220974772797,0.0020011116000000495,False
0.125,0.36000000000000004,Uniform,0.594225,0.5005907712000001,0.068066132438183,0.001181542400000124,False
0.125,0.35000000000000003,Uniform,0.468518,0.5001890849999999,0.03837054501801572,0.00037816999999984446,False
0.125,0.34,Uniform,0.5,0.5000772332,0.025115990380770954,0.00015446639999994183,True
0.125,0.33,Uniform,0.5,0.5000725806,0.024372360538091983,0.00014516120000007682,True
0.125,0.32,Uniform,0.5,0.5000713402,0.02418243736377776,0.00014268039999998372,True
0.125,0.31,Uniform,0.5,0.5000714136,0.024218156312832192,0.00014282719999991755,True
0.125,0.3,Uniform,0.5,0.5000697562,0.02396072806258231,0.0001395124000000969,True
0.125,0.29000000000000004,Uniform,0.5,0.5000682434,0.023716862722941247,0.0001364868000000019,True
0.125,0.28,Uniform,0.5,0.500067242,0.02355027214865873,0.00013448399999993477,True
0.125,0.27,Uniform,0.5,0.5000666648000001,0.023451116759009367,0.0001333296000001205,True
0.125,0.26,Uniform,0.5,0.500066464,0.023413106682950328,0.00013292799999997662,True
0.125,0.25,Uniform,0.5,0.5000666018,0.023431815187847402,0.00013320359999990927,True
0.125,0.24000000000000002,Uniform,0.5,0.5000670492,0.0235038572026691,0.0001340984000000045,True
0.125,0.23,Uniform,0.5,0.5000677831999999,0.023626440518709428,0.00013556639999978692,True
0.125,0.22,Uniform,0.5,0.5000687831999999,0.023797125329421336,0.00013756639999984444,True
0.125,0.21000000000000002,Uniform,0.5,0.5000700364,0.02401363505400164,0.00014007280000005728,True
0.125,0.2,Uniform,0.5,0.5000715299999999,0.024273805758798995,0.00014305999999986163,True
0.125,0.19,Uniform,0.5,0.500073251,0.024575556115776484,0.0001465019999999928,True
0.125,0.18000000000000002,Uniform,0.5,0.5000738438000001,0.02469521447217997,0.00014768760000016812,True
0.125,0.17,Uniform,0.5,0.5000730099999999,0.024572561539489984,0.00014601999999985793,True
0.125,0.16,Uniform,0.5,0.5000724916,0.02449322357780976,0.00014498320000000398,True
0.125,0.15000000000000002,Uniform,0.5,0.500072271,0.02445737406607669,0.00014454199999991424,True
0.125,0.14,Uniform,0.5,0.5000723368,0.024465011118280106,0.00014467359999992269,True
0.125,0.13,Uniform,0.5,0.5000726784,0.0245159587192212,0.00014535680000005158,True
0.125,0.12,Uniform,0.5,0.5000732826,0.024609837641806753,0.00014656519999989293,True
0.125,0.11,Uniform,0.5,0.5000741426,0.024746079013022833,0.00014828520000009782,True
0.125,0.09999999999999999,Uniform,0.5,0.500075246,0.024923939529147766,0.00015049199999994656,True
0.125,0.09,Uniform,0.5,0.5000765836000001,0.0251425108327869,0.00015316720000013717,True
0.125,0.08,Uniform,0.5,0.5000781504,0.025400705955858607,0.0001563008000000643,True
0.125,0.06999999999999999,Uniform,0.5,0.5000799336,0.025697339900798807,0.00015986720000005228,True
0.125,0.060000000000000005,Uniform,0.5,0.5000812582,0.025925696778721783,0.00016251640000009004,True
0.125,0.05,Uniform,0.5,0.5000803918,0.025805634933059728,0.0001607835999999363,True
0.125,0.04,Uniform,0.5,0.5000798418,0.025726563544825373,0.00015968359999996018,True
