delta,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
0.125,0.51,Bimodal,0.417679,0.5021621021999999,0.13286801129157866,0.004324204399999809,False
0.125,0.5,Bimodal,0.423133,0.5019490373999999,0.1224355262015615,0.0038980747999997067,False
0.125,0.49,Bimodal,0.62947,0.5015597016,0.11184797799738974,0.003119403199999926,False
0.125,0.48000000000000004,Bimodal,0.410228,0.501320529,0.10088201770084418,0.0026410580000000294,False
0.125,0.47000000000000003,Bimodal,0.531222,0.5009664361999999,0.08934676948402878,0.001932872399999841,False
0.125,0.46,Bimodal,0.570823,0.5007799118,0.07685507467925076,0.0015598236000000654,False
0.125,0.45,Bimodal,0.415319,0.5004919368,0.06273762760776323,0.0009838736000000736,False
0.125,0.44,Bimodal,0.507723,0.50024052,0.04552613455068006,0.00048103999999993263,False
0.125,0.43,Bimodal,0.499757,0.5000870482,0.026673400953810995,0.00017409640000010107,False
0.125,0.42000000000000004,Bimodal,0.5,0.5000737712,0.024555237543314717,0.00014754239999992258,True
0.125,0.41000000000000003,Bimodal,0.5,0.500068946,0.023763122706892723,0.0001378919999999173,True
0.125,0.4,Bimodal,0.5,0.5000661874,0.023295431027333047,0.00013237479999994584,True
0.125,0.39,Bimodal,0.5,0.5000644944,0.023001383694428914,0.00012898880000000723,True
0.125,0.38,Bimodal,0.5,0.5000635233999999,0.022826883379200368,0.00012704679999986368,True
0.125,0.37,Bimodal,0.5,0.5000630852,0.022745872031347453,0.0001261703999999586,True
0.125,0.36000000000000004,Bimodal,0.5,0.5000630881999999,0.02274340351511864,0.0001261763999997889,True
0.125,0.35000000000000003,Bimodal,0.5,0.500063464,0.022809784306510355,0.00012692800000002613,True
0.125,0.34,Bimodal,0.5,0.5000641744000001,0.022938119046693097,0.00012834880000012205,True
0.125,0.33,Bimodal,0.5,0.5000651804,0.023123054107390455,0.00013036080000006223,True
0.125,0.32,Bimodal,0.5,0.5000664632,0.023360174672249125,0.00013292640000006628,True
0.125,0.31,Bimodal,0.5,0.5000679992,0.0236456990649643,0.00013599840000000363,True
0.125,0.3,Bimodal,0.5,0.5000673062,0.023547715754193434,0.0001346123999999005,True
0.125,0.29000000000000004,Bimodal,0.5,0.5000664356,0.023409605027718074,0.0001328711999999399,True
0.125,0.28,Bimodal,0.5,0.5000658875999999,0.023319111398890247,0.00013177519999985066,True
0.125,0.27,Bimodal,0.5,0.500065644,0.023276001751554577,0.00013128799999995167,True
0.125,0.26,Bimodal,0.5,0.5000656866000001,0.023279903422837818,0.00013137320000011776,True
0.125,0.25,Bimodal,0.5,0.5000660076,0.023330273900612437,0.00013201519999994638,True
0.125,0.24000000000000002,Bimodal,0.5,0.5000665924,0.02342638993726863,0.00013318479999990807,True
0.125,0.23,Bimodal,0.5,0.5000674332,0.02356733944092974,0.00013486640000004435,True
0.125,0.22,Bimodal,0.5,0.5000685144,0.02375205403329895,0.00013702879999999418,True
0.125,0.21000000000000002,Bimodal,0.5,0.5000698298,0.023979286061925193,0.00013965960000006383,True
