delta,alpha_inflow,distribution,final_load,avg_load,load_std,load_inflation,converged
0.125,0.39,Spike,0.12927,0.5158731878,0.3562312140928441,0.03174637560000004,False
0.125,0.38,Spike,1.0,0.5149148581999999,0.34813723796181595,0.029829716399999873,False
0.125,0.37,Spike,1.0,0.5147147898000001,0.34097060668979856,0.029429579600000144,False
0.125,0.36000000000000004,Spike,0.756817,0.5135365937999999,0.3339168958686351,0.02707318759999988,False
0.125,0.35000000000000003,Spike,0.717381,0.512787117,0.3251592752309505,0.02557423400000003,False
0.125,0.34,Spike,1.0,0.5123712767999999,0.3159053029474843,0.024742553599999884,False
0.125,0.33,Spike,0.208295,0.5117723904,0.30625439812721,0.023544780799999998,False
0.125,0.32,Spike,1.0,0.5106611524,0.29275356450490103,0.02132230479999997,False
0.125,0.31,Spike,0.367474,0.5092095015999999,0.2768626236315686,0.018419003199999784,False
0.125,0.3,Spike,0.413335,0.5079502704000001,0.2576420468925992,0.01590054080000014,False
0.125,0.29000000000000004,Spike,0.541746,0.5070969646,0.23650467106725964,0.014193929199999955,False
0.125,0.28,Spike,0.266221,0.505803652,0.21582781239614424,0.011607303999999985,False
0.125,0.27,Spike,0.294015,0.5047901363999999,0.19614963370188299,0.009580272799999845,False
0.125,0.26,Spike,0.325289,0.504025174,0.17729941616737033,0.00805034800000004,False
0.125,0.25,Spike,0.75769,0.5031663916000001,0.15906763548981898,0.006332783200000192,False
0.125,0.24000000000000002,Spike,0.37194,0.5024605019999999,0.14131298918482216,0.00492100399999984,False
0.125,0.23,Spike,0.599811,0.5018600602000001,0.12352870279877146,0.0037201204000001376,False
0.125,0.22,Spike,0.660315,0.501462665,0.10547897996916278,0.0029253300000000593,False
0.125,0.21000000000000002,Spike,0.592735,0.500999957,0.08622883731152804,0.0019999139999999915,False
0.125,0.2,Spike,0.593827,0.5005378812,0.06427769456292867,0.0010757623999999577,False
0.125,0.19,Spike,0.496359,0.500132893,0.03479805326955836,0.0002657859999999346,False
0.125,0.18000000000000002,Spike,0.5,0.5000789746000001,0.02552409634103351,0.00015794920000011814,True
0.125,0.17,Spike,0.5,0.5000759886,0.025050282885576355,0.0001519772000000419,True
0.125,0.16,Spike,0.5,0.5000748413999999,0.02486308051612262,0.00014968279999982848,True
0.125,0.15000000000000002,Spike,0.5,0.5000744568,0.024797303816291104,0.00014891359999991138,True
0.125,0.14,Spike,0.5,0.5000745364,0.024806521959126332,0.00014907279999998302,True
0.125,0.13,Spike,0.5,0.5000749552,0.024871197549388352,0.00014991040000000844,True
0.125,0.12,Spike,0.5,0.5000756432,0.024981305374274065,0.0001512863999999503,True
0.125,0.11,Spike,0.5,0.5000765634,0.025130982047618353,0.00015312679999990308,True
0.125,0.09999999999999999,Spike,0.5,0.5000776924,0.02531639056153138,0.00015538479999999133,True
0.125,0.09,Spike,0.5,0.50007901,0.025534854944606764,0.00015801999999998095,True
0.125,0.08,Spike,0.5,0.5000805062,0.025784334603967493,0.0001610123999999935,True
0.125,0.06999999999999999,Spike,0.5,0.5000816528,0.025982565713463766,0.00016330560000010763,True
0.125,0.060000000000000005,Spike,0.5,0.5000808112,0.025865971444492628,0.000161622400000061,True
0.125,0.05,Spike,0.5,0.5000802128,0.025780631324640122,0.00016042560000006922,True
0.125,0.04,Spike,0.5,0.5000798466,0.025726691379245274,0.00015969320000008835,True
0.125,0.03,Spike,0.5,0.5000797066,0.025704242305444755,0.0001594132000000137,True
0.125,0.02,Spike,0.5,0.500079783,0.0257132986225323,0.00015956599999999987,True
0.125,0.01,Spike,0.5,0.5000800702,0.025753801897065654,0.0001601404000000084,True
0.124,0.99,Spike,1.0,0.9860015639999999,0.08994320912088971,0.9720031279999999,False
0.124,0.98,Spike,1.0,0.9819211412000001,0.10980511173635382,0.9638422824000001,False
0.124,0.97,Spike,1.0,0.970888479,0.15039766653515274,0.9417769579999999,False
0.124,0.9600000000000001,Spike,1.0,0.9491056663999999,0.2065656713844428,0.8982113327999999,False
0.124,0.9500000000000001,Spike,1.0,0.9159046366000001,0.2673020253954119,0.8318092732000002,False
0.124,0.9400000000000001,Spike,1.0,0.8750500654,0.322066690343122,0.7501001307999999,False
0.124,0.93,Spike,1.0,0.8331325648,0.36535889327205484,0.6662651296,False
0.124,0.92,Spike,1.0,0.7904472274,0.40011942112444765,0.5808944547999999,False
0.124,0.91,Spike,1.0,0.7586143918,0.42136488018690743,0.5172287836,False
0.124,0.9,Spike,1.0,0.7446097357999999,0.4296550854204898,0.4892194715999998,False
0.124,0.89,Spike,0.0,0.6963905615999999,0.4537008595489985,0.3927811231999998,False
0.124,0.88,Spike,0.0,0.6521149534,0.470397273371191,0.30422990680000006,False
0.124,0.87,Spike,0.0,0.5571458775999999,0.4910580385450369,0.11429175519999979,False
0.124,0.86,Spike,1.0,0.5532039204000001,0.4912770522027149,0.10640784080000021,False
0.124,0.85,Spike,1.0,0.5980429284,0.4843104854922735,0.1960858567999999,False
0.124,0.8400000000000001,Spike,0.0,0.6142682720000001,0.4806591634805382,0.22853654400000023,False
0.124,0.8300000000000001,Spike,1.0,0.530775382,0.4929021804896939,0.061550763999999925,False
0.124,0.8200000000000001,Spike,1.0,0.5816246876,0.48697644430917025,0.16324937519999994,False
0.124,0.81,Spike,0.016598,0.5311277088,0.49278287928518594,0.062255417600000085,False
0.124,0.8,Spike,1.0,0.581929063,0.486581157989021,0.16385812600000005,False
0.124,0.79,Spike,1.0,0.539156933,0.49156748789664995,0.07831386600000001,False
0.124,0.78,Spike,0.0,0.5420626376000001,0.4911617077642151,0.08412527520000013,False
0.124,0.77,Spike,0.0,0.5581193574,0.48924213882745965,0.11623871479999992,False
0.124,0.76,Spike,0.0,0.5593751746,0.488708643971524,0.11875034919999994,False
0.124,0.75,Spike,0.0,0.5528558870000001,0.4890408125204328,0.1057117740000002,False
0.124,0.74,Spike,0.0,0.5414445569999999,0.4896431016880214,0.08288911399999987,False
0.124,0.73,Spike,1.0,0.5321744828000001,0.48955010168609775,0.06434896560000025,False
0.124,0.72,Spike,1.0,0.5468006066,0.4878283431868742,0.09360121319999992,False
0.124,0.7100000000000001,Spike,1.0,0.5327599937999999,0.4883183442517988,0.06551998759999988,False
0.124,0.7000000000000001,Spike,0.000203,0.533091643,0.48771963266927754,0.06618328600000001,False
0.124,0.6900000000000001,Spike,1e-05,0.5346072854,0.4866531575875849,0.06921457080000004,False
0.124,0.68,Spike,0.004805,0.5311831644,0.4858541408838597,0.06236632880000004,False
0.124,0.67,Spike,1.0,0.5350713544,0.4840417534138066,0.07014270879999995,False
0.124,0.66,Spike,0.006391,0.5307129274,0.48309945299807155,0.06142585479999996,False
0.124,0.65,Spike,3.5e-05,0.5333115384000001,0.4812598828228182,0.06662307680000024,False
0.124,0.64,Spike,0.003636,0.5306977622,0.4803362989858409,0.06139552439999996,False
0.124,0.63,Spike,1.0,0.5309127768,0.47787723377219105,0.06182555360000008,False
